,CommonName,SciName,Family,About,Audios
0,,,,,
1,,,,,
2,Abbott's babbler,Malacocincla abbotti,Pellorneidae,Abbott's babbler is a species of bird in the family Pellorneidae. It is widely distributed along the Himalayas in South Asia and extending into the forests of Southeast Asia. They are short-tailed and stout birds which forage in pairs in dense undergrowth close to the ground and their presence is indicated by their distinctive calls.,https://xeno-canto.org/426677/download
3,Aberrant bush warbler,Horornis flavolivacea,Cettiidae,"The aberrant bush warbler is a species in the bush warbler family, Cettiidae. It was formerly included in the ""Old World warbler"" assemblage.",https://xeno-canto.org/312288/download
4,Alpine accentor,Prunella collaris,Prunellidae,The alpine accentor is a small passerine bird in the family Prunellidae.,https://xeno-canto.org/547442/download
5,Alpine chough,Pyrrhocorax graculus,Corvidae,"The Alpine chough, or yellow-billed chough, is a bird in the crow family, one of only two species in the genus Pyrrhocorax. Its two subspecies breed in high mountains from Spain eastwards through southern Europe and North Africa to Central Asia and Nepal, and it may nest at a higher altitude than any other bird. The eggs have adaptations to the thin atmosphere that improve oxygen take-up and reduce water loss.",https://xeno-canto.org/157362/download
6,Alpine swift,Tachymarptis melba,Apodidae,"The Alpine swift formerly Apus melba, is a species of swift. The genus name is from the Ancient Greek takhus, ""fast"", and marptis, ""seizer"". The specific name melba comes from ‘melano-alba’ or ‘mel-alba’; Eigenhuis & Swaab (1992) posited that ‘melba’ might be a short form for ‘melano-alba’ or ‘mel-alba’. Linnaeus certainly referred to these two colors in his diagnosis.",https://xeno-canto.org/138660/download
7,Alpine thrush,Zoothera mollissima,Turdidae,The alpine thrush is a species of bird in the thrush family.,https://xeno-canto.org/381197/download
8,Altai accentor,Prunella himalayana,Prunellidae,The Altai accentor is a species of bird in the family Prunellidae. It is also known as the rufous-streaked accentor or Himalayan accentor. It breeds in the Altai Mountains of western mongolia; it winters in the southern Tian Shan and Himalayan ranges.,https://xeno-canto.org/255689/download
9,Amur falcon,Falco amurensis,Falconidae,The Amur falcon is a small raptor of the falcon family. It breeds in south-eastern Siberia and Northern China before migrating in large flocks across India and over the Arabian Sea to winter in Southern Africa,https://xeno-canto.org/444362/download
10,,,,,
11,Andaman bulbul,Brachypodius fuscoflavescens,Pycnonotidae,"The Andaman bulbul is a member of the bulbul family of passerine birds. It is endemic to the Andaman Islands. It has a mainly olive-yellow plumage and has most of the head olive. It feeds on small fruit and berries, but will also take insects.",https://xeno-canto.org/341289/download
12,Andaman coucal,Centropus andamanensis,Cuculidae,"The Andaman coucal or brown coucal is a species of non-parasitic cuckoo found in the Andamans, Coco and Table Islands. It is sometimes treated as a subspecies of the greater coucal. It is found mainly in forested habitats and thickly covered gardens.",https://xeno-canto.org/496214/download
13,Andaman crake,Rallina canningi,Rallidae,The Andaman crake is a bird species in the family Rallidae. It is endemic to the Andaman Islands of the eastern Indian Ocean.,https://xeno-canto.org/369533/download
